customer_id,tenure_months,monthly_charges,support_tickets,late_payments,usage_hours,contract,payment_method,region,plan,support_plan,churn,annual_value,churn_probability,risk_level,recommended_action
CUST105158,10,7628.41,2,3,64.7,Month-to-Month,Cash,South,Basic,Yes,1,91540.92,1.0,High,Priority retention call + targeted offer
CUST101208,21,6999.45,1,1,7.3,Month-to-Month,Net Banking,West,Basic,No,1,83993.4,0.9999999999999998,High,Priority retention call + targeted offer
CUST101289,45,6798.13,4,0,47.5,Month-to-Month,Cash,North,Standard,No,1,81577.56,0.9999999999999964,High,Priority retention call + targeted offer
CUST102313,4,6765.38,0,0,58.8,Month-to-Month,Debit Card,North,Standard,No,1,81184.56,0.9999999999999958,High,Priority retention call + targeted offer
CUST103016,39,6728.98,1,2,39.3,One Year,Credit Card,South,Basic,No,1,80747.76,0.9999999999999942,High,Priority retention call + targeted offer
CUST102790,68,6697.85,4,1,32.3,One Year,Credit Card,South,Basic,No,1,80374.2,0.9999999999999887,High,Priority retention call + targeted offer
CUST104205,59,6823.24,1,1,44.9,Two Year,Net Banking,East,Standard,No,1,81878.88,0.9999999999999849,High,Priority retention call + targeted offer
CUST104603,55,6628.37,1,1,43.9,Month-to-Month,Debit Card,North,Premium,Yes,1,79540.44,0.9999999999999807,High,Priority retention call + targeted offer
CUST100371,48,6597.36,4,2,39.2,One Year,Debit Card,West,Basic,No,1,79168.32,0.999999999999976,High,Priority retention call + targeted offer
CUST103340,39,6612.07,4,1,43.2,Two Year,Credit Card,West,Standard,Yes,1,79344.84,0.999999999999956,High,Priority retention call + targeted offer
CUST101386,41,6526.16,2,0,36.2,Month-to-Month,Net Banking,North,Basic,No,1,78313.92,0.9999999999999554,High,Priority retention call + targeted offer
CUST100208,19,6534.94,1,1,48.1,Two Year,Credit Card,South,Standard,Yes,1,78419.28,0.9999999999999245,High,Priority retention call + targeted offer
CUST102250,37,6495.86,1,1,66.2,One Year,UPI,North,Basic,No,1,77950.32,0.9999999999999147,High,Priority retention call + targeted offer
CUST100799,32,6329.82,3,1,20.7,Month-to-Month,Debit Card,South,Basic,No,1,75957.84,0.9999999999998932,High,Priority retention call + targeted offer
CUST101828,45,6343.22,2,2,64.6,Month-to-Month,Credit Card,South,Premium,No,1,76118.64,0.9999999999998064,High,Priority retention call + targeted offer
CUST100491,63,6295.89,2,3,46.1,Month-to-Month,UPI,West,Premium,No,1,75550.68,0.999999999999728,High,Priority retention call + targeted offer
CUST105339,34,6228.93,1,1,29.7,Month-to-Month,Credit Card,West,Standard,No,1,74747.16,0.9999999999995286,High,Priority retention call + targeted offer
CUST104471,64,6284.91,0,1,62.1,Month-to-Month,Credit Card,North,Basic,Yes,1,75418.92,0.9999999999994944,High,Priority retention call + targeted offer
CUST100811,64,6279.67,1,1,33.5,One Year,UPI,South,Basic,No,1,75356.04,0.9999999999994074,High,Priority retention call + targeted offer
CUST103569,18,6280.09,6,0,54.0,Month-to-Month,Net Banking,East,Standard,Yes,1,75361.08,0.9999999999993878,High,Priority retention call + targeted offer
CUST102989,31,6181.6,1,0,30.4,Month-to-Month,Debit Card,South,Basic,No,1,74179.2,0.9999999999993745,High,Priority retention call + targeted offer
CUST101685,38,6204.42,1,1,42.8,Month-to-Month,Credit Card,North,Standard,Yes,1,74453.04,0.9999999999992348,High,Priority retention call + targeted offer
CUST100914,43,6213.45,1,0,33.1,Month-to-Month,Net Banking,South,Basic,No,1,74561.4,0.9999999999991722,High,Priority retention call + targeted offer
CUST100223,15,6138.94,1,0,24.4,Month-to-Month,Debit Card,North,Standard,No,1,73667.28,0.9999999999990374,High,Priority retention call + targeted offer
CUST103348,9,6029.12,0,2,24.0,Month-to-Month,UPI,West,Basic,Yes,1,72349.44,0.9999999999986602,High,Priority retention call + targeted offer
CUST103535,6,6052.9,1,0,15.8,Month-to-Month,UPI,North,Standard,No,1,72634.8,0.9999999999985105,High,Priority retention call + targeted offer
CUST100755,32,6089.13,1,3,27.2,One Year,UPI,West,Standard,No,1,73069.56,0.999999999997887,High,Priority retention call + targeted offer
CUST105059,46,6122.49,1,1,11.5,One Year,Credit Card,South,Standard,Yes,1,73469.88,0.9999999999976832,High,Priority retention call + targeted offer
CUST102780,23,6027.35,1,0,42.4,Month-to-Month,Debit Card,South,Premium,No,1,72328.2,0.9999999999966178,High,Priority retention call + targeted offer
CUST104843,15,6006.8,4,1,52.8,One Year,Credit Card,East,Basic,No,1,72081.6,0.9999999999950615,High,Priority retention call + targeted offer
CUST102894,19,5981.19,3,3,56.8,Month-to-Month,Net Banking,South,Standard,Yes,1,71774.28,0.9999999999944125,High,Priority retention call + targeted offer
CUST103392,58,6020.96,2,1,31.5,Month-to-Month,Net Banking,East,Basic,Yes,1,72251.52,0.9999999999938434,High,Priority retention call + targeted offer
CUST104123,20,6072.21,2,0,40.0,Two Year,Debit Card,North,Standard,Yes,1,72866.52,0.9999999999935236,High,Priority retention call + targeted offer
CUST100129,46,5918.99,3,1,23.5,Month-to-Month,Credit Card,South,Premium,No,1,71027.88,0.9999999999933364,High,Priority retention call + targeted offer
CUST104202,25,5958.5,3,1,44.4,One Year,UPI,South,Basic,No,1,71502.0,0.9999999999929465,High,Priority retention call + targeted offer
CUST101731,66,5972.78,1,2,50.7,Month-to-Month,Debit Card,West,Premium,No,1,71673.36,0.9999999999914619,High,Priority retention call + targeted offer
CUST103728,25,5888.51,1,2,56.5,Month-to-Month,Debit Card,West,Basic,No,1,70662.12,0.9999999999908882,High,Priority retention call + targeted offer
CUST103174,72,5890.58,6,2,31.9,Month-to-Month,Credit Card,North,Basic,Yes,1,70686.96,0.9999999999908464,High,Priority retention call + targeted offer
CUST101522,14,5916.12,5,1,56.9,Month-to-Month,UPI,East,Standard,Yes,1,70993.44,0.9999999999907818,High,Priority retention call + targeted offer
CUST101018,3,5822.25,1,2,54.9,Month-to-Month,Credit Card,South,Basic,No,1,69867.0,0.999999999990163,High,Priority retention call + targeted offer
CUST100662,3,5942.01,1,1,21.4,Two Year,Net Banking,West,Basic,No,1,71304.12,0.999999999988497,High,Priority retention call + targeted offer
CUST100978,26,5864.69,0,1,45.6,Month-to-Month,Debit Card,North,Basic,No,1,70376.28,0.9999999999884206,High,Priority retention call + targeted offer
CUST101535,3,5869.33,2,1,52.7,Month-to-Month,Cash,North,Standard,Yes,1,70431.96,0.999999999988292,High,Priority retention call + targeted offer
CUST102687,41,5988.49,2,0,79.8,Month-to-Month,Debit Card,North,Standard,Yes,1,71861.88,0.9999999999875011,High,Priority retention call + targeted offer
CUST102628,45,5938.18,2,2,43.1,One Year,Credit Card,West,Premium,Yes,1,71258.16,0.9999999999853975,High,Priority retention call + targeted offer
CUST105146,35,5928.17,2,0,50.2,One Year,Credit Card,North,Basic,No,1,71138.04,0.9999999999851601,High,Priority retention call + targeted offer
CUST102841,51,5992.33,2,1,41.2,Two Year,UPI,South,Standard,Yes,1,71907.96,0.9999999999844451,High,Priority retention call + targeted offer
CUST100972,35,5890.95,4,1,50.3,One Year,UPI,South,Basic,No,1,70691.4,0.999999999984315,High,Priority retention call + targeted offer
CUST104398,6,5943.43,0,0,45.5,One Year,Credit Card,East,Standard,Yes,1,71321.16,0.9999999999838378,High,Priority retention call + targeted offer
CUST105594,62,5922.96,2,0,36.8,Month-to-Month,Cash,West,Standard,Yes,1,71075.52,0.999999999982484,High,Priority retention call + targeted offer
CUST100668,67,5859.59,1,1,50.9,Month-to-Month,Credit Card,South,Basic,No,1,70315.08,0.9999999999802882,High,Priority retention call + targeted offer
CUST100060,67,5829.24,3,1,36.5,Month-to-Month,Credit Card,North,Premium,No,1,69950.88,0.9999999999754878,High,Priority retention call + targeted offer
CUST104035,3,5837.11,2,0,51.1,Month-to-Month,Net Banking,North,Standard,No,1,70045.32,0.9999999999738312,High,Priority retention call + targeted offer
CUST100077,17,5795.75,3,2,66.4,Month-to-Month,Net Banking,South,Basic,No,1,69549.0,0.9999999999735356,High,Priority retention call + targeted offer
CUST102360,47,5870.22,3,1,26.7,One Year,Debit Card,South,Standard,No,1,70442.64,0.9999999999728926,High,Priority retention call + targeted offer
