feature,coefficient,absolute_impact
num__monthly_charges,10.030221586467274,10.030221586467274
cat__contract_Month-to-Month,0.5098752828545201,0.5098752828545201
cat__contract_Two Year,-0.4318915861396394,0.4318915861396394
cat__payment_method_Net Banking,-0.3722190604314453,0.3722190604314453
num__tenure_months,-0.29294012222729665,0.29294012222729665
num__usage_hours,-0.20868125027075138,0.20868125027075138
num__late_payments,0.20173929231898624,0.20173929231898624
cat__plan_Standard,-0.1770870841436345,0.1770870841436345
cat__plan_Basic,0.16060040978433424,0.16060040978433424
cat__contract_One Year,-0.1481539477360379,0.1481539477360379
cat__payment_method_UPI,0.11573765907624393,0.11573765907624393
cat__region_East,-0.11369930606194327,0.11369930606194327
cat__payment_method_Credit Card,0.11175567050071748,0.11175567050071748
cat__support_plan_Yes,-0.09216580175043536,0.09216580175043536
cat__payment_method_Cash,0.07686673233264857,0.07686673233264857
num__support_tickets,0.06315562734117004,0.06315562734117004
cat__plan_Premium,-0.053683576661857996,0.053683576661857996
cat__region_South,0.046221554189718725,0.046221554189718725
cat__region_West,-0.04490593125428785,0.04490593125428785
cat__region_North,0.042213432105354276,0.042213432105354276
cat__support_plan_No,0.02199555072927802,0.02199555072927802
cat__payment_method_Debit Card,-0.0023112524993222196,0.0023112524993222196
